Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
871257462,0.067117,0.088260,-0.109385,-0.256937,0.043909,0.967899
871259968,0.067031,0.027187,-0.049196,-0.254053,0.038034,0.966570
871262473,0.066796,-0.034141,0.071609,-0.260576,0.039545,0.966426
871264978,0.066647,-0.034396,0.132224,-0.260543,0.037323,0.963541
871267484,-0.055385,0.025894,0.193715,-0.251914,0.039509,0.969506
871269989,-0.116146,0.026011,0.133325,-0.251898,0.043165,0.970190
871272494,-0.116060,0.087085,0.073135,-0.254714,0.043128,0.965038
871274999,-0.055150,0.087222,0.072910,-0.257562,0.043847,0.962061
871277505,0.005674,0.026285,0.132875,-0.259753,0.043873,0.962747
871280010,0.066710,-0.095215,0.131799,-0.254660,0.046758,0.963537
871282515,0.066859,-0.094960,0.071184,-0.250376,0.042372,0.965859
871285020,0.005800,-0.095352,0.132024,-0.250411,0.039463,0.966622
871287526,0.066584,0.026422,0.132649,-0.258395,0.043192,0.967879
871290031,0.066584,0.026422,0.132649,-0.255462,0.046815,0.967891
871292536,0.066606,0.148314,0.072885,-0.254798,0.038786,0.968003
871295042,-0.055001,0.087477,0.012295,-0.253331,0.035832,0.965883
871297547,-0.115613,0.087849,-0.108710,-0.255499,0.038775,0.966533
871300052,-0.115825,0.148413,-0.047669,-0.254745,0.042416,0.966502
871302557,-0.115974,0.148158,0.012946,-0.254720,0.042399,0.965047
871305063,-0.055001,0.087477,0.012295,-0.252528,0.040906,0.963651
871307568,-0.054726,-0.033906,-0.049170,-0.251868,0.045344,0.969435
871310073,-0.054513,-0.094469,-0.110210,-0.251854,0.043868,0.967997
871312578,-0.054513,-0.094469,-0.110210,-0.256205,0.044633,0.967904
871315084,0.006098,-0.094842,0.010794,-0.255423,0.045322,0.964997
871317589,0.127706,-0.034004,0.071384,-0.256224,0.045379,0.969351
871320094,0.188318,-0.034377,0.192389,-0.257636,0.042431,0.965718
871322600,0.188530,-0.094941,0.131349,-0.256957,0.046123,0.970056
871325105,0.127769,-0.094823,0.070959,-0.254082,0.042453,0.970156
871327610,0.067008,-0.094705,0.010569,-0.258387,0.040987,0.966450
871330115,0.066882,0.026932,0.011419,-0.257585,0.040930,0.962096
871332621,0.066819,0.087750,0.011845,-0.256177,0.041681,0.965027
871335126,0.005972,0.026795,0.011645,-0.259043,0.048278,0.965619
871337631,0.005823,0.026540,0.072260,-0.256209,0.042436,0.967202
871340136,-0.054938,0.026658,0.011870,-0.255478,0.043160,0.967207
871342642,-0.054789,0.026913,-0.048745,-0.255440,0.043134,0.965024
871345147,-0.054789,0.026913,-0.048745,-0.256177,0.041681,0.965027
871347653,0.066733,0.026677,0.072034,-0.260572,0.041742,0.967127
871350158,0.066584,0.026422,0.132649,-0.259858,0.041745,0.967869
871352663,0.005611,0.087104,0.133300,-0.255467,0.038020,0.964358
871355168,-0.054938,0.026658,0.011870,-0.254754,0.046088,0.968642
871357674,-0.055001,0.087477,0.012295,-0.255451,0.041675,0.965041
871360179,0.066968,0.088005,-0.048770,-0.258334,0.046084,0.965660
871362684,0.066904,0.148824,-0.048345,-0.254729,0.046071,0.967186
871365189,0.067180,0.027442,-0.109811,-0.251145,0.041675,0.968038
871367695,0.067031,0.027187,-0.049196,-0.252544,0.045316,0.966509
871370200,0.066945,-0.033886,0.010994,-0.253319,0.043889,0.968697
871372705,0.005823,0.026540,0.072260,-0.256197,0.042428,0.966474
871375211,0.005674,0.026285,0.132875,-0.256295,0.039562,0.970878
871377716,-0.115997,0.026266,0.072710,-0.256922,0.040966,0.965750
871380221,-0.115997,0.026266,0.072710,-0.254632,0.042339,0.959951
871382726,-0.115848,0.026521,0.012095,-0.257679,0.040260,0.967201
871385232,-0.055173,-0.034670,0.132675,-0.254763,0.041695,0.967239
871387737,0.066710,-0.095215,0.131799,-0.250377,0.043840,0.966569
871390242,0.127620,-0.095078,0.131574,-0.256099,0.045294,0.962071
871392747,0.127769,-0.094823,0.070959,-0.256889,0.046810,0.966407
871395253,0.127769,-0.094823,0.070959,-0.252586,0.043145,0.967992
871397758,0.127706,-0.034004,0.071384,-0.255425,0.040191,0.962875
871400263,0.127855,-0.033749,0.010769,-0.257538,0.045297,0.961315
871402768,0.067094,-0.033632,-0.049621,-0.254638,0.043077,0.960670
871405274,0.006121,0.027050,-0.048970,-0.253286,0.041666,0.965812
871407779,0.006121,0.027050,-0.048970,-0.259185,0.044708,0.972215
871410284,0.005972,0.026795,0.011645,-0.257590,0.046799,0.964937
871412789,0.005972,0.026795,0.011645,-0.253891,0.047456,0.961359
871415295,0.005972,0.026795,0.011645,-0.256185,0.043886,0.966457
871417800,0.005886,-0.034278,0.071835,-0.256852,0.040186,0.961391
871420305,0.005800,-0.095352,0.132024,-0.259814,0.040981,0.964966
871422811,0.005864,-0.156170,0.131599,-0.257655,0.041710,0.966455
871425316,0.006013,-0.155915,0.070984,-0.255512,0.038784,0.967261
871427821,-0.054812,-0.094979,0.011020,-0.256947,0.040983,0.967206
871430326,-0.176609,0.026639,-0.048294,-0.254023,0.040214,0.965815
871432832,-0.237433,0.087575,-0.108259,-0.252522,0.041635,0.963642
871435337,-0.115676,0.148668,-0.108284,-0.253221,0.046755,0.964293
871437842,0.006058,0.087868,-0.048545,-0.253975,0.043114,0.964324
871440347,0.066882,0.026932,0.011419,-0.252546,0.040185,0.964387
871442853,0.006035,-0.034023,0.011220,-0.256191,0.043157,0.966466
871445358,0.006248,-0.094587,-0.049821,-0.256862,0.045325,0.964241
871447863,-0.054577,-0.033651,-0.109785,-0.258321,0.046075,0.964932
871450369,-0.054726,-0.033906,-0.049170,-0.256194,0.046092,0.967886
871452874,-0.115762,0.087594,-0.048095,-0.253257,0.045313,0.965767
871455379,-0.115762,0.087594,-0.048095,-0.256142,0.044590,0.964264
871457884,0.005909,0.087613,0.012070,-0.255466,0.044619,0.967190
871460390,0.127706,-0.034004,0.071384,-0.254702,0.044587,0.965020
871462895,0.188679,-0.094686,0.070734,-0.254662,0.041627,0.961416
871465400,0.127769,-0.094823,0.070959,-0.257631,0.043160,0.965710
871467906,0.067072,-0.155523,0.010144,-0.258376,0.043913,0.967142
871470411,0.006374,-0.216224,-0.050671,-0.259094,0.041713,0.965699
871472916,0.006374,-0.216224,-0.050671,-0.255482,0.040963,0.966506
871475421,0.006225,-0.216479,0.009944,-0.255471,0.042422,0.966488
871477927,0.066986,-0.216597,0.070334,-0.255398,0.045305,0.963541
871480432,0.066859,-0.094960,0.071184,-0.255384,0.043829,0.962103
871482938,0.006035,-0.034023,0.011220,-0.258326,0.043878,0.964231
871485443,0.005972,0.026795,0.011645,-0.259095,0.043181,0.966409
871487948,0.005909,0.087613,0.012070,-0.254032,0.043886,0.967955
871490453,0.005909,0.087613,0.012070,-0.253298,0.041675,0.966540
871492958,0.005909,0.087613,0.012070,-0.252591,0.040948,0.967290
871495463,-0.055087,0.026403,0.072485,-0.255472,0.043889,0.967199
871497969,-0.055087,0.026403,0.072485,-0.256905,0.043154,0.965724
871500474,0.005972,0.026795,0.011645,-0.255459,0.043881,0.966471
871502979,0.127792,0.027069,0.011194,-0.254728,0.044604,0.966476
871505485,0.188765,-0.033612,0.010544,-0.254736,0.046809,0.967905
871507990,0.188765,-0.033612,0.010544,-0.253331,0.043897,0.969425
871510495,0.128004,-0.033495,-0.049846,-0.254051,0.043165,0.968692
871513001,0.128004,-0.033495,-0.049846,-0.256177,0.041681,0.965027
871515506,0.128153,-0.033240,-0.110461,-0.257000,0.043952,0.971538
871518011,0.127941,0.027324,-0.049421,-0.257707,0.044679,0.970787
871520516,0.188851,0.027461,-0.049646,-0.256261,0.043938,0.970824
871523022,0.249463,0.027088,0.071359,-0.255602,0.041778,0.973777
871525527,0.188553,0.026951,0.071584,-0.255520,0.040989,0.968690
871528032,0.188404,0.026696,0.132199,-0.255422,0.043855,0.964287
871530538,0.127557,-0.034259,0.131999,-0.254027,0.044615,0.967946
871533061,0.066773,-0.156033,0.131374,-0.254753,0.044621,0.967932
871535553,0.066837,-0.216851,0.130949,-0.254012,0.041672,0.965797
871538054,0.066923,-0.155778,0.070759,-0.254724,0.040202,0.964345
871540559,0.127494,0.026559,0.132424,-0.256854,0.043120,0.962812
871543064,0.066606,0.148314,0.072885,-0.256900,0.045351,0.966425
871545569,0.066543,0.209133,0.073310,-0.258337,0.042420,0.964248
871548074,-0.054915,0.148550,-0.047895,-0.259752,0.042406,0.962036
871550580,-0.054852,0.087731,-0.048320,-0.256918,0.044630,0.967162
871553085,-0.054789,0.026913,-0.048745,-0.256212,0.045371,0.968623
871555590,0.006121,0.027050,-0.048970,-0.257601,0.045340,0.964955
871558095,-0.054789,0.026913,-0.048745,-0.256068,0.046006,0.960606
871560601,-0.115762,0.087594,-0.048095,-0.254616,0.045995,0.960634
871563106,-0.055001,0.087477,0.012295,-0.254726,0.043137,0.965766
871565611,-0.055001,0.087477,0.012295,-0.255496,0.042439,0.967944
871568117,0.005823,0.026540,0.072260,-0.256924,0.043901,0.967171
871570622,0.066796,-0.034141,0.071609,-0.259834,0.043195,0.967123
871573127,0.127706,-0.034004,0.071384,-0.257649,0.042439,0.966446
871575632,0.188702,0.027206,0.010969,-0.252530,0.043840,0.965071
871578138,0.127941,0.027324,-0.049421,-0.253280,0.042396,0.965803
871580643,0.066968,0.088005,-0.048770,-0.252610,0.041695,0.968737
871583148,-0.055001,0.087477,0.012295,-0.255497,0.043906,0.968655
871585653,-0.116060,0.087085,0.073135,-0.258356,0.041699,0.964985
871588159,-0.177119,0.086693,0.133976,-0.257666,0.040251,0.966473
871590664,-0.116209,0.086830,0.133750,-0.255510,0.043915,0.969383
871593169,-0.116060,0.087085,0.073135,-0.254032,0.043886,0.967955
871595676,-0.115762,0.087594,-0.048095,-0.255416,0.044584,0.964278
871598180,-0.054703,0.087986,-0.108935,-0.253984,0.046786,0.966463
871600685,0.006207,0.088123,-0.109160,-0.251826,0.047515,0.967952
871603191,0.005972,0.026795,0.011645,-0.256111,0.045302,0.962799
871605696,0.005972,0.026795,0.011645,-0.257599,0.042405,0.963534
871608201,0.005823,0.026540,0.072260,-0.256917,0.043163,0.966451
871610706,0.005611,0.087104,0.133300,-0.254732,0.042408,0.965775
871613212,0.066521,0.087241,0.133075,-0.254757,0.042425,0.967230
871615717,-0.055150,0.087222,0.072910,-0.254782,0.042442,0.968686
871618222,-0.115911,0.087340,0.012520,-0.253330,0.042430,0.968714
871620728,-0.054852,0.087731,-0.048320,-0.252635,0.041712,0.970193
871623233,0.005972,0.026795,0.011645,-0.254772,0.045368,0.969379
871625738,0.127855,-0.033749,0.010769,-0.255479,0.044627,0.967918
871628243,0.067157,-0.094450,-0.050046,-0.256227,0.040248,0.967229
871630749,0.006397,-0.094332,-0.110436,-0.256929,0.041704,0.966469
871633254,-0.176396,-0.033925,-0.109335,-0.257630,0.041693,0.964999
871635759,-0.237370,0.026757,-0.108684,-0.254724,0.040202,0.964345
871638264,-0.115636,-0.034043,-0.048945,-0.255439,0.041667,0.964314
871640770,0.006121,0.027050,-0.048970,-0.256934,0.040975,0.966478
871643275,0.127792,0.027069,0.011194,-0.256961,0.042459,0.968644
871645780,0.127580,0.087633,0.072234,-0.254705,0.047522,0.966440
871648285,0.127430,0.087378,0.132849,-0.254685,0.046775,0.964993
871650791,0.127494,0.026559,0.132424,-0.255447,0.043872,0.965743
